case_id,depth,pos_a,pos_b,edge_distance
electron_electron,0,0,5,5
electron_electron,1,-1,6,7
electron_electron,2,-2,7,9
electron_electron,3,-3,8,11
electron_electron,4,-4,9,13
electron_electron,5,-5,10,15
electron_electron,6,-6,11,17
electron_electron,7,-7,12,19
electron_electron,8,-8,13,21
electron_electron,9,-9,14,23
electron_electron,10,-10,15,25
electron_electron,11,-11,16,27
electron_electron,12,-12,17,29
electron_positron,0,0,5,5
electron_positron,1,-1,3,4
electron_positron,2,-2,2,4
electron_positron,3,-3,3,6
electron_positron,4,-4,4,8
electron_positron,5,-5,5,10
electron_positron,6,-6,6,12
electron_positron,7,-7,7,14
electron_positron,8,-8,8,16
electron_positron,9,-9,9,18
electron_positron,10,-10,10,20
electron_positron,11,-11,11,22
electron_positron,12,-12,12,24
