panel_id,trial_id,seed_family,run_id,events_count
P0_fixed_sync_cube26,sheet_x_g0,sheet_x,0,31537
P0_fixed_sync_cube26,sheet_x_g0,sheet_x,1,63074
P0_fixed_sync_cube26,sheet_x_g0,sheet_x,2,94611
P0_fixed_sync_cube26,sheet_y_g1,sheet_y,0,159305
P0_fixed_sync_cube26,sheet_y_g1,sheet_y,1,223999
P0_fixed_sync_cube26,sheet_y_g1,sheet_y,2,288693
P0_fixed_sync_cube26,sheet_z_g2,sheet_z,0,353387
P0_fixed_sync_cube26,sheet_z_g2,sheet_z,1,418081
P0_fixed_sync_cube26,sheet_z_g2,sheet_z,2,482775
P0_fixed_sync_cube26,blob3_g0,blob3,0,531741
P0_fixed_sync_cube26,blob3_g0,blob3,1,580707
P0_fixed_sync_cube26,blob3_g0,blob3,2,629673
P0_fixed_sync_cube26,single_g1,single,0,704751
P0_fixed_sync_cube26,single_g1,single,1,779829
P0_fixed_sync_cube26,single_g1,single,2,854907
P1_fixed_async_cube26,sheet_x_g0,sheet_x,0,77741
P1_fixed_async_cube26,sheet_x_g0,sheet_x,1,155616
P1_fixed_async_cube26,sheet_y_g1,sheet_y,0,238106
P1_fixed_async_cube26,sheet_y_g1,sheet_y,1,320653
P1_fixed_async_cube26,sheet_z_g2,sheet_z,0,403187
P1_fixed_async_cube26,sheet_z_g2,sheet_z,1,485749
P1_fixed_async_cube26,blob3_g0,blob3,0,563646
P1_fixed_async_cube26,blob3_g0,blob3,1,641518
P1_fixed_async_cube26,single_g1,single,0,724050
P1_fixed_async_cube26,single_g1,single,1,806562
P2_periodic_sync_axial6,sheet_x_g0,sheet_x,0,53432
P2_periodic_sync_axial6,sheet_x_g0,sheet_x,1,106864
P2_periodic_sync_axial6,sheet_y_g1,sheet_y,0,173594
P2_periodic_sync_axial6,sheet_y_g1,sheet_y,1,240324
P2_periodic_sync_axial6,sheet_z_g2,sheet_z,0,307054
P2_periodic_sync_axial6,sheet_z_g2,sheet_z,1,373784
P2_periodic_sync_axial6,blob3_g0,blob3,0,430936
P2_periodic_sync_axial6,blob3_g0,blob3,1,488088
P2_periodic_sync_axial6,single_g1,single,0,540530
P2_periodic_sync_axial6,single_g1,single,1,592972
