priority_rank,q_id,q_label,coeff_e000,coeff_e001,coeff_e010,coeff_e011,coeff_e100,coeff_e101,coeff_e110,coeff_e111,sid_g0,sid_g1,sid_g2
1,186,1/2*e000 + -1/2*e001 + -1/2*e011 + 1/2*e101,1/2,-1/2,0,-1/2,0,1/2,0,0,186,1146,2106
2,191,1/2*e000 + -1/2*e001 + 1/2*e011 + -1/2*e101,1/2,-1/2,0,1/2,0,-1/2,0,0,191,1151,2111
3,204,1/2*e000 + -1/2*e011 + -1/2*e110 + 1/2*e111,1/2,0,0,-1/2,0,0,-1/2,1/2,204,1164,2124
4,217,1/2*e000 + 1/2*e011 + 1/2*e110 + -1/2*e111,1/2,0,0,1/2,0,0,1/2,-1/2,217,1177,2137
5,230,1/2*e000 + 1/2*e001 + -1/2*e011 + 1/2*e101,1/2,1/2,0,-1/2,0,1/2,0,0,230,1190,2150
6,235,1/2*e000 + 1/2*e001 + 1/2*e011 + -1/2*e101,1/2,1/2,0,1/2,0,-1/2,0,0,235,1195,2155
7,184,1/2*e000 + -1/2*e001 + -1/2*e010 + 1/2*e110,1/2,-1/2,-1/2,0,0,0,1/2,0,184,1144,2104
8,185,1/2*e000 + -1/2*e001 + -1/2*e011 + -1/2*e101,1/2,-1/2,0,-1/2,0,-1/2,0,0,185,1145,2105
9,187,1/2*e000 + -1/2*e001 + -1/2*e100 + -1/2*e111,1/2,-1/2,0,0,-1/2,0,0,-1/2,187,1147,2107
10,189,1/2*e000 + -1/2*e001 + 1/2*e100 + -1/2*e111,1/2,-1/2,0,0,1/2,0,0,-1/2,189,1149,2109
11,190,1/2*e000 + -1/2*e001 + 1/2*e100 + 1/2*e111,1/2,-1/2,0,0,1/2,0,0,1/2,190,1150,2110
12,192,1/2*e000 + -1/2*e001 + 1/2*e011 + 1/2*e101,1/2,-1/2,0,1/2,0,1/2,0,0,192,1152,2112
13,193,1/2*e000 + -1/2*e001 + 1/2*e010 + -1/2*e110,1/2,-1/2,1/2,0,0,0,-1/2,0,193,1153,2113
14,196,1/2*e000 + -1/2*e010 + -1/2*e011 + 1/2*e100,1/2,0,-1/2,-1/2,1/2,0,0,0,196,1156,2116
15,225,1/2*e000 + 1/2*e010 + 1/2*e011 + -1/2*e100,1/2,0,1/2,1/2,-1/2,0,0,0,225,1185,2145
16,228,1/2*e000 + 1/2*e001 + -1/2*e010 + 1/2*e110,1/2,1/2,-1/2,0,0,0,1/2,0,228,1188,2148
17,229,1/2*e000 + 1/2*e001 + -1/2*e011 + -1/2*e101,1/2,1/2,0,-1/2,0,-1/2,0,0,229,1189,2149
18,231,1/2*e000 + 1/2*e001 + -1/2*e100 + -1/2*e111,1/2,1/2,0,0,-1/2,0,0,-1/2,231,1191,2151
19,232,1/2*e000 + 1/2*e001 + -1/2*e100 + 1/2*e111,1/2,1/2,0,0,-1/2,0,0,1/2,232,1192,2152
20,234,1/2*e000 + 1/2*e001 + 1/2*e100 + 1/2*e111,1/2,1/2,0,0,1/2,0,0,1/2,234,1194,2154
