delta_deg,m0,m1,m2,K_unsigned,K_signed,K_unsigned_minus_2over3,K_signed_minus_2over3
0.0,5.82842712474619,0.08578643762690512,0.08578643762690454,0.6666666666666667,0.6666666666666667,1.1102230246251565e-16,1.1102230246251565e-16
10.0,5.725149582065985,0.008273911644895006,0.26657650628912,0.6666666666666669,0.6666666666666669,2.220446049250313e-16,2.220446049250313e-16
20.0,5.4238965406736765,0.006947295988122933,0.5691561633381983,0.5983250205752799,0.6666666666666669,-0.06834164609138671,2.220446049250313e-16
30.0,4.94948974278318,0.050510257216821855,0.9999999999999996,0.5042449234640747,0.6666666666666667,-0.16242174320259195,1.1102230246251565e-16
40.0,4.340349059345737,0.10819234556427919,1.5514585950899817,0.4484344491629945,0.6666666666666669,-0.2182322175036721,2.220446049250313e-16
50.0,3.6444297330212456,0.15423565950583268,2.201334607472921,0.41871124514171165,0.6666666666666667,-0.24795542152495498,1.1102230246251565e-16
60.0,2.914213562373096,0.17157287525381,2.914213562373092,0.4093647857764432,0.6666666666666667,-0.25730188089022343,1.1102230246251565e-16
70.0,2.2013346074729236,0.15423565950583285,3.6444297330212403,0.41871124514171154,0.6666666666666666,-0.2479554215249551,0.0
80.0,1.5514585950899835,0.10819234556427948,4.340349059345737,0.4484344491629943,0.6666666666666669,-0.21823221750367233,2.220446049250313e-16
90.0,1.0,0.05051025721682205,4.949489742783175,0.5042449234640743,0.6666666666666667,-0.16242174320259228,1.1102230246251565e-16
100.0,0.5691561633382003,0.006947295988122933,5.4238965406736765,0.5983250205752797,0.6666666666666666,-0.06834164609138693,0.0
110.0,0.2665765062891209,0.008273911644894884,5.725149582065985,0.6666666666666667,0.6666666666666667,1.1102230246251565e-16,1.1102230246251565e-16
120.0,0.08578643762690512,0.08578643762690454,5.82842712474619,0.6666666666666667,0.6666666666666667,1.1102230246251565e-16,1.1102230246251565e-16
130.0,0.008273911644894905,0.2665765062891211,5.725149582065985,0.6666666666666667,0.6666666666666667,1.1102230246251565e-16,1.1102230246251565e-16
140.0,0.006947295988122933,0.5691561633382003,5.423896540673678,0.5983250205752796,0.6666666666666666,-0.06834164609138704,0.0
150.0,0.05051025721682195,0.9999999999999996,4.94948974278318,0.5042449234640746,0.6666666666666667,-0.16242174320259206,1.1102230246251565e-16
160.0,0.10819234556427919,1.5514585950899817,4.340349059345742,0.4484344491629945,0.6666666666666666,-0.2182322175036721,0.0
170.0,0.15423565950583268,2.201334607472921,3.6444297330212456,0.41871124514171165,0.6666666666666667,-0.24795542152495498,1.1102230246251565e-16
180.0,0.17157287525381,2.914213562373092,2.914213562373098,0.4093647857764433,0.6666666666666666,-0.2573018808902233,0.0
190.0,0.15423565950583268,3.644429733021244,2.2013346074729223,0.41871124514171165,0.6666666666666667,-0.24795542152495498,1.1102230246251565e-16
200.0,0.10819234556427933,4.340349059345737,1.5514585950899835,0.4484344491629944,0.6666666666666666,-0.21823221750367222,0.0
210.0,0.05051025721682195,4.94948974278318,1.0000000000000009,0.5042449234640746,0.6666666666666665,-0.16242174320259206,-1.1102230246251565e-16
220.0,0.006947295988122933,5.4238965406736765,0.5691561633382013,0.5983250205752796,0.6666666666666664,-0.06834164609138704,-2.220446049250313e-16
230.0,0.008273911644894884,5.725149582065985,0.26657650628912183,0.6666666666666665,0.6666666666666665,-1.1102230246251565e-16,-1.1102230246251565e-16
240.0,0.08578643762690454,5.82842712474619,0.08578643762690558,0.6666666666666666,0.6666666666666666,0.0,0.0
250.0,0.2665765062891211,5.725149582065985,0.008273911644894804,0.6666666666666669,0.6666666666666669,2.220446049250313e-16,2.220446049250313e-16
260.0,0.5691561633382003,5.423896540673678,0.006947295988123007,0.5983250205752796,0.6666666666666669,-0.06834164609138704,2.220446049250313e-16
270.0,0.9999999999999996,4.94948974278318,0.05051025721682205,0.5042449234640743,0.6666666666666667,-0.16242174320259228,1.1102230246251565e-16
280.0,1.5514585950899817,4.340349059345742,0.10819234556427933,0.4484344491629945,0.6666666666666669,-0.2182322175036721,2.220446049250313e-16
290.0,2.2013346074729245,3.644429733021242,0.15423565950583268,0.41871124514171154,0.6666666666666665,-0.2479554215249551,-1.1102230246251565e-16
300.0,2.914213562373096,2.914213562373093,0.17157287525381,0.40936478577644325,0.6666666666666667,-0.2573018808902234,1.1102230246251565e-16
310.0,3.644429733021244,2.2013346074729223,0.15423565950583285,0.41871124514171154,0.666666666666667,-0.2479554215249551,3.3306690738754696e-16
320.0,4.340349059345737,1.5514585950899835,0.10819234556427948,0.4484344491629943,0.6666666666666669,-0.21823221750367233,2.220446049250313e-16
330.0,4.949489742783175,1.0000000000000009,0.05051025721682225,0.5042449234640741,0.6666666666666669,-0.1624217432025925,2.220446049250313e-16
340.0,5.4238965406736765,0.5691561633382013,0.006947295988123118,0.5983250205752791,0.6666666666666669,-0.06834164609138749,2.220446049250313e-16
350.0,5.725149582065985,0.26657650628912183,0.008273911644894662,0.6666666666666669,0.6666666666666669,2.220446049250313e-16,2.220446049250313e-16
360.0,5.82842712474619,0.08578643762690558,0.08578643762690381,0.666666666666667,0.666666666666667,3.3306690738754696e-16,3.3306690738754696e-16
