scenario_id,step_index,pair_interaction_kind,charges_base8,ticks
single_motif_vacuum_drive,0,,"{""0"": ""0""}","{""0"": 0}"
single_motif_vacuum_drive,1,,"{""0"": ""0""}","{""0"": 1}"
single_motif_vacuum_drive,2,,"{""0"": ""0""}","{""0"": 2}"
single_motif_vacuum_drive,3,,"{""0"": ""0""}","{""0"": 3}"
single_motif_vacuum_drive,4,,"{""0"": ""0""}","{""0"": 4}"
single_motif_vacuum_drive,5,,"{""0"": ""0""}","{""0"": 5}"
single_motif_vacuum_drive,6,,"{""0"": ""0""}","{""0"": 6}"
single_motif_vacuum_drive,7,,"{""0"": ""0""}","{""0"": 7}"
single_motif_vacuum_drive,8,,"{""0"": ""0""}","{""0"": 8}"
single_motif_vacuum_drive,9,,"{""0"": ""0""}","{""0"": 9}"
single_motif_vacuum_drive,10,,"{""0"": ""0""}","{""0"": 10}"
single_motif_vacuum_drive,11,,"{""0"": ""0""}","{""0"": 11}"
single_motif_vacuum_drive,12,,"{""0"": ""0""}","{""0"": 12}"
two_node_opposite_sign_pair,0,attractive,"{""0"": ""-10"", ""1"": ""10""}","{""0"": 0, ""1"": 0}"
two_node_opposite_sign_pair,1,neutral,"{""0"": ""0"", ""1"": ""0""}","{""0"": 1, ""1"": 1}"
two_node_opposite_sign_pair,2,neutral,"{""0"": ""0"", ""1"": ""0""}","{""0"": 2, ""1"": 2}"
two_node_opposite_sign_pair,3,neutral,"{""0"": ""0"", ""1"": ""0""}","{""0"": 3, ""1"": 3}"
two_node_opposite_sign_pair,4,neutral,"{""0"": ""0"", ""1"": ""0""}","{""0"": 4, ""1"": 4}"
two_node_opposite_sign_pair,5,neutral,"{""0"": ""0"", ""1"": ""0""}","{""0"": 5, ""1"": 5}"
two_node_opposite_sign_pair,6,neutral,"{""0"": ""0"", ""1"": ""0""}","{""0"": 6, ""1"": 6}"
two_node_opposite_sign_pair,7,neutral,"{""0"": ""0"", ""1"": ""0""}","{""0"": 7, ""1"": 7}"
two_node_opposite_sign_pair,8,neutral,"{""0"": ""0"", ""1"": ""0""}","{""0"": 8, ""1"": 8}"
two_node_opposite_sign_pair,9,neutral,"{""0"": ""0"", ""1"": ""0""}","{""0"": 9, ""1"": 9}"
two_node_opposite_sign_pair,10,neutral,"{""0"": ""0"", ""1"": ""0""}","{""0"": 10, ""1"": 10}"
two_node_opposite_sign_pair,11,neutral,"{""0"": ""0"", ""1"": ""0""}","{""0"": 11, ""1"": 11}"
two_node_opposite_sign_pair,12,neutral,"{""0"": ""0"", ""1"": ""0""}","{""0"": 12, ""1"": 12}"
two_node_same_sign_pair,0,repulsive,"{""0"": ""-10"", ""1"": ""-10""}","{""0"": 0, ""1"": 0}"
two_node_same_sign_pair,1,neutral,"{""0"": ""0"", ""1"": ""0""}","{""0"": 1, ""1"": 1}"
two_node_same_sign_pair,2,neutral,"{""0"": ""0"", ""1"": ""0""}","{""0"": 2, ""1"": 2}"
two_node_same_sign_pair,3,neutral,"{""0"": ""0"", ""1"": ""0""}","{""0"": 3, ""1"": 3}"
two_node_same_sign_pair,4,neutral,"{""0"": ""0"", ""1"": ""0""}","{""0"": 4, ""1"": 4}"
two_node_same_sign_pair,5,neutral,"{""0"": ""0"", ""1"": ""0""}","{""0"": 5, ""1"": 5}"
two_node_same_sign_pair,6,neutral,"{""0"": ""0"", ""1"": ""0""}","{""0"": 6, ""1"": 6}"
two_node_same_sign_pair,7,neutral,"{""0"": ""0"", ""1"": ""0""}","{""0"": 7, ""1"": 7}"
two_node_same_sign_pair,8,neutral,"{""0"": ""0"", ""1"": ""0""}","{""0"": 8, ""1"": 8}"
two_node_same_sign_pair,9,neutral,"{""0"": ""0"", ""1"": ""0""}","{""0"": 9, ""1"": 9}"
two_node_same_sign_pair,10,neutral,"{""0"": ""0"", ""1"": ""0""}","{""0"": 10, ""1"": 10}"
two_node_same_sign_pair,11,neutral,"{""0"": ""0"", ""1"": ""0""}","{""0"": 11, ""1"": 11}"
two_node_same_sign_pair,12,neutral,"{""0"": ""0"", ""1"": ""0""}","{""0"": 12, ""1"": 12}"
